1	663	sggs	ਧਨਾਸਰੀ ਮਹਲਾ ੧ ਆਰਤੀ			Dhanaasaree, First Mehl, Aartee:	Dhanasri 1st Guru. Present adoration.		
2	663	sggs	ੴ ਸਤਿਗੁਰ ਪ੍ਰਸਾਦਿ॥			One Universal Creator God. By The Grace Of The True Guru:	There is but One God. By True Guru's grace, He is obtained.		
3	663	sggs	ਗਗਨ ਮੈ ਥਾਲੁ. ਰਵਿ ਚੰਦੁ ਦੀਪਕ ਬਨੇ; ਤਾਰਿਕਾ ਮੰਡਲ ਜਨਕ ਮੋਤੀ॥	ਮੈ: ਬਿੰਦੀ ਨ ਲਾਉ।		In the bowl of the sky, the sun and moon are the lamps; the stars in the constellations are the pearls.	In the sky's salver, the sun and the moon are the lamps and the stars with their orbs, are the studded pearls.	(ਮੈ) ਸਰੂਪ।	
4	663	sggs	ਧੂਪੁ ਮਲਆਨ ਲੋ. ਪਵਣੁ ਚਵਰੋ ਕਰੇ; ਸਗਲ ਬਨਰਾਇ ਫੂਲੰਤ ਜੋਤੀ॥੧॥			The fragrance of sandalwood is the incense, the wind is the fan, and all the vegetation are flowers in offering to You, O Luminous Lord. ||1||	The fragrance of sandal wood make Thy incense, wind Thy fan and all the vegetation Thine flowers, O Luminous Lord.		
5	663	sggs	ਕੈਸੀ ਆਰਤੀ ਹੋਇ; ਭਵ ਖੰਡਨਾ ਤੇਰੀ ਆਰਤੀ॥			What a beautiful lamp-lit worship service this is! O Destroyer of fear, this is Your Aartee, Your worship service.	What a beautiful worship with lamps is being performed? Such is Thine adoration O Lord, the Destroyer of dread.		
6	663	sggs	ਅਨਹਤਾ ਸਬਦ ਵਾਜੰਤ ਭੇਰੀ॥੧॥ਰਹਾਉ॥			The sound current of the Shabad is the sounding of the temple drums. ||1||Pause||	The celestial strain is the sounding of template drums. Pause.	(ਅਨਹਤਾ) ਇੱਕ ਰਸ। (ਭੇਰੀ) ਨਗਾਰਾ	
7	663	sggs	ਸਹਸ ਤਵ ਨੈਨ. ਨਨ ਨੈਨ ਹੈ ਤੋਹਿ ਕਉ; ਸਹਸ ਮੂਰਤਿ. ਨਨਾ ਏਕ ਤੋਹੀ॥			Thousands are Your eyes, and yet You have no eyes. Thousands are Your forms, and yet You have not even one form.	Thousands are Thine eyes, yet thou hast no eye. Thousands are Thine forms, yet Thou hast not even one.	(ਨਨ) ਨਹੀਂ।	
8	663	sggs	ਸਹਸ ਪਦ ਬਿਮਲ. ਨਨ ਏਕ ਪਦ; ਗੰਧ ਬਿਨੁ. ਸਹਸ ਤਵ ਗੰਧ; ਇਵ ਚਲਤ ਮੋਹੀ॥੨॥			Thousands are Your lotus feet, and yet You have no feet. Without a nose, thousands are Your noses. I am enchanted with Your play! ||2||	Thousands are Thine holy feet, yet Thou hast not one foot. Thousands are Thine noses and yet Thou art without a nose. I am bewitched by these plays of Thine.	(ਪਦ) ਪੈਰ। (ਬਿਮਲ) ਨਿਰਮਲ। (ਗੰਧ) ਨੱਕ।	
9	663	sggs	ਸਭ ਮਹਿ ਜੋਤਿ; ਜੋਤਿ ਹੈ ਸੋਇ॥			The Divine Light is within everyone; You are that Light.	Amongst all there is light and that light art Thou.		
10	663	sggs	ਤਿਸ ਕੈ ਚਾਨਣਿ; ਸਭ ਮਹਿ ਚਾਨਣੁ ਹੋਇ॥			Yours is that Light which shines within everyone.	By His Light, the light shines within all the souls.		
11	663	sggs	ਗੁਰ ਸਾਖੀ; ਜੋਤਿ ਪਰਗਟੁ ਹੋਇ॥			By the Guru's Teachings, this Divine Light is revealed.	By Guru's teaching the Divine light becomes manifest.		
12	663	sggs	ਜੋ ਤਿਸੁ ਭਾਵੈ; ਸੁ ਆਰਤੀ ਹੋਇ॥੩॥			That which pleases the Lord is the true worship service. ||3||	Whatever pleases Him, that is His real worship.		
13	663	sggs	ਹਰਿ ਚਰਣਕਮਲ ਮਕਰੰਦ. ਲੋਭਿਤ ਮਨੋ; ਅਨਦਿਨੋ ਮੋਹਿ ਆਹੀ ਪਿਆਸਾ॥			My soul is enticed by the honey-sweet lotus feet of the Lord; night and day, I thirst for them.	My soul is bewitched by the honey of the lotus feet of God and, night and day, I am thirsty for them.	(ਮਕਰੰਦ) ਫੁੱਲਾਂ ਦਾ ਰਸ।	
14	663	sggs	ਕ੍ਰਿਪਾ ਜਲੁ ਦੇਹਿ. ਨਾਨਕ ਸਾਰਿੰਗ ਕਉ; ਹੋਇ ਜਾ ਤੇ. ਤੇਰੈ ਨਾਮਿ ਵਾਸਾ॥੪॥੧॥੭॥੯॥			Bless Nanak, the thirsty song-bird, with the water of Your Mercy, that he may come to dwell in Your Name. ||4||1||7||9||	Bless Nanak, the pied cuckoo, with the Nectar of Thine mercy, so that he may have an abode in Thy Name, O Lord.		
15	694	sggs	ਨਾਮੁ ਤੇਰੋ ਆਰਤੀ ਮਜਨੁ ਮੁਰਾਰੇ॥	ਮੱਜਨੁ।		Your Name, Lord, is my adoration and cleansing bath.	Thy Name, O Lord, is my adoration in audience and ablution.		
16	694	sggs	ਹਰਿ ਕੇ ਨਾਮ ਬਿਨੁ; ਝੂਠੇ ਸਗਲ ਪਾਸਾਰੇ॥੧॥ਰਹਾਉ॥			Without the Name of the Lord, all ostentatious displays are useless. ||1||Pause||	Without the Lord's Name, all the ostentations are in vain. Pause.		
17	694	sggs	ਨਾਮੁ ਤੇਰੋ ਆਸਨੋ. ਨਾਮੁ ਤੇਰੋ ਉਰਸਾ; ਨਾਮੁ ਤੇਰਾ ਕੇਸਰੋ. ਲੇ ਛਿਟਕਾਰੇ॥			Your Name is my prayer mat, and Your Name is the stone to grind the sandalwood. Your Name is the saffron which I take and sprinkle in offering to You.	Thy name is my prayer mat, Thy name, my stone scraper and Thy name the saffron, which I take and sprinkle for Thee.	(ਆਸਨੋ) ਉਪਾਸਨਾ ਸਥਾਨ। (ਉਰਸਾ) ਚੰਦਨ ਰਗੜਨ ਵਾਲਾ ਪੱਥਰ।	
18	694	sggs	ਨਾਮੁ ਤੇਰਾ ਅੰਭੁਲਾ. ਨਾਮੁ ਤੇਰੋ ਚੰਦਨੋ; ਘਸਿ ਜਪੇ. ਨਾਮੁ ਲੇ, ਤੁਝਹਿ ਕਉ ਚਾਰੇ॥੧॥	ਚਾਰੑੇ।		Your Name is the water, and Your Name is the sandalwood. The chanting of Your Name is the grinding of the sandalwood. I take it and offer all this to You. ||1||	Thy name is the water and Thy Name and sandal. The repetition of Thy Name is the grating of sandal. Taking the Name I offer it unto Thee.	(ਅੰਭੁਲਾ) ਜਲ। (ਚਾਰੑੇ) ਚਾੜੑਦੇ।	
19	694	sggs	ਨਾਮੁ ਤੇਰਾ ਦੀਵਾ. ਨਾਮੁ ਤੇਰੋ ਬਾਤੀ; ਨਾਮੁ ਤੇਰੋ ਤੇਲੁ. ਲੇ ਮਾਹਿ ਪਸਾਰੇ॥			Your Name is the lamp, and Your Name is the wick. Your Name is the oil I pour into it.	Thy Name is the Lamp and Thy Name the wick Taking the oil of Thy name, I pour it therein.	(ਪਸਾਰੇ) ਪਾਇਆ।	
20	694	sggs	ਨਾਮ ਤੇਰੇ ਕੀ ਜੋਤਿ ਲਗਾਈ; ਭਇਓ ਉਜਿਆਰੋ ਭਵਨ ਸਗਲਾਰੇ॥੨॥			Your Name is the light applied to this lamp, which enlightens and illuminates the entire world. ||2||	Thy Name is the light, which I have applied to the lamp and it has enlightened the whole world.		
21	694	sggs	ਨਾਮੁ ਤੇਰੋ ਤਾਗਾ. ਨਾਮੁ ਫੂਲ ਮਾਲਾ; ਭਾਰ ਅਠਾਰਹ ਸਗਲ ਜੂਠਾਰੇ॥			Your Name is the thread, and Your Name is the garland of flowers. The eighteen loads of vegetation are all too impure to offer to You.	Thy Name is the thread and Thy Name the garland of flowers All the eighteen loads of vegetation are too impure to be offered to Thee.	(ਭਾਰ ਅਠਾਰਹ) ਸਾਰੀ ਬਨਾਸਪਤੀ। (ਜੂਠਾਰੇ) ਜੂਠੇ।	
22	694	sggs	ਤੇਰੋ ਕੀਆ. ਤੁਝਹਿ ਕਿਆ ਅਰਪਉ; ਨਾਮੁ ਤੇਰਾ. ਤੁਹੀ ਚਵਰ ਢੋਲਾਰੇ॥੩॥			Why should I offer to You, that which You Yourself created? Your Name is the fan, which I wave over You. ||3||	Why should I offered Thee, What Thou Thyself hast made? Thy Name is the fly-brush, which I wave over Thee.	ਦਾਸਨਦਾਸ ਆਪ ਜੀ ਦਾ (ਕੀਆ) ਪੈਦਾ ਕੀਤਾ ਜੰਤ ਅਤੇ ਆਪ ਜੀ ਦਾ ਪੈਦਾ ਕੀਤਾ ਚੰਦਨ ਆਪ ਜੀ ਕੀ ਅਰਪੇ। (ਢੋਲਾਰੇ) ਝੁਲਾਉਣਾ।	
23	694	sggs	ਦਸ ਅਠਾ ਅਠਸਠੇ ਚਾਰੇ ਖਾਣੀ; ਇਹੈ ਵਰਤਣਿ ਹੈ ਸਗਲ ਸੰਸਾਰੇ॥	ਅੱਠਾ। ਅੱਠਸੱਠੇ।		The whole world is engrossed in the eighteen Puraanas, the sixty-eight sacred shrines of pilgrimage, and the four sources of creation.	The whole world is engrossed in the eighteen Puranas, sixty-eight shrines and the four sources of creation.	(ਦਸ ਅੱਠਾ) ਅਠਾਰਾਂ ਪੁਰਾਣ। (ਅੱਠਸੱਠੇ) ਅਠਾਹਟ ਤੀਰਥ।	
24	694	sggs	ਕਹੈ ਰਵਿਦਾਸੁ. ਨਾਮੁ ਤੇਰੋ ਆਰਤੀ; ਸਤਿਨਾਮੁ ਹੈ ਹਰਿ ਭੋਗ ਤੁਹਾਰੇ॥੪॥੩॥			Says Ravi Daas, Your Name is my Aartee, my lamp-lit worship-service. The True Name, Sat Naam, is the food which I offer to You. ||4||3||	Says Rav-Dass, Thy name alone is my present worship. The True Name is the food which I offer Thee, O Lord.		
25	695	sggs	ਸ੍ਰੀ ਸੈਣੁ॥			Sri Sain:	Venerable Sain.		
26	695	sggs	ਧੂਪ ਦੀਪ ਘ੍ਰਿਤ ਸਾਜਿ ਆਰਤੀ॥			With incense, lamps and ghee, I offer this lamp-lit worship service.	I offer adoration prayers with incense, lamps and clarified butter.	(ਘ੍ਰਿਤ) ਘਿਉ।	
27	695	sggs	ਵਾਰਨੇ ਜਾਉ. ਕਮਲਾ ਪਤੀ॥੧॥			I am a sacrifice to the Lord of Lakshmi. ||1||	I am a sacrifice unto the Lord of Lakhshmi.	(ਕਮਲਾ ਪਤੀ) ਪ੍ਰਮਾਤਮਾ।	
28	695	sggs	ਮੰਗਲਾ ਹਰਿ ਮੰਗਲਾ॥			Hail to You, Lord, hail to You!	Hail, to Thee, O God, hail;		
29	695	sggs	ਨਿਤ ਮੰਗਲੁ; ਰਾਜਾਰਾਮ ਰਾਇ ਕੋ॥੧॥ਰਹਾਉ॥			Again and again, hail to You, Lord King, Ruler of all! ||1||Pause||	Eternal bliss is thine, O my Sovereign Lord, the Emperor. Pause.		
30	695	sggs	ਊਤਮੁ ਦੀਅਰਾ; ਨਿਰਮਲ ਬਾਤੀ॥			Sublime is the lamp, and pure is the wick.	The sublime lamp and pure wick art Thou,		
31	695	sggs	ਤੁਹਂੀ ਨਿਰੰਜਨੁ ਕਮਲਾ ਪਾਤੀ॥੨॥			You are immaculate and pure, O Brilliant Lord of Wealth! ||2||	O Bright Lord of wealth.		
32	695	sggs	ਰਾਮਾ ਭਗਤਿ ਰਾਮਾਨੰਦੁ ਜਾਨੈ॥			Raamaanand knows the devotional worship of the Lord.	The Lord's meditation, Rama Nand, my Guru knows.		
33	695	sggs	ਪੂਰਨ ਪਰਮਾਨੰਦੁ ਬਖਾਨੈ॥੩॥			He says that the Lord is all-pervading, the embodiment of supreme joy. ||3||	He describes the Lord as Omnipresent and the Embodiment of Supreme joy.		
34	695	sggs	ਮਦਨ ਮੂਰਤਿ; ਭੈ ਤਾਰਿ ਗੋਬਿੰਦੇ॥			The Lord of the world, of wondrous form, has carried me across the terrifying world-ocean.	The World Master of fascinating form has ferried me across the terrible world ocean.		
35	695	sggs	ਸੈਣੁ ਭਣੈ; ਭਜੁ ਪਰਮਾਨੰਦੇ॥੪॥੨॥			Says Sain, remember the Lord, the embodiment of supreme joy! ||4||2||	Says, Sain, “Remember thou, God, the Embodiment of Supreme joy”.		
36	1350	sggs	ਪ੍ਰਭਾਤੀ॥			Prabhaatee:	Parbhati.		
37	1350	sggs	ਸੁੰਨ ਸੰਧਿਆ ਤੇਰੀ. ਦੇਵ ਦੇਵਾ ਕਰ; ਅਧਪਤਿ ਆਦਿ ਸਮਾਈ॥		ਦੂਜਾ ਪਾਠ: ਦੇਵਾਕਰ।	Hear my prayer, Lord; You are the Divine Light of the Divine, the Primal, All-pervading Master.	O God, the Primal and all-pervading Master, thou are the mine of light. Hear Thou, My present adoration.	(ਅਦਪਤਿ) ਰਾਜੇ, ਪ੍ਰਮੇਸ਼ਰ।	
38	1350	sggs	ਸਿਧ ਸਮਾਧਿ ਅੰਤੁ. ਨਹੀ ਪਾਇਆ; ਲਾਗਿ ਰਹੇ ਸਰਨਾਈ॥੧॥			The Siddhas in Samaadhi have not found Your limits. They hold tight to the Protection of Your Sanctuary. ||1||	The adepts, in their trance have found not Thy limit. They continue to cling o Thy asylum.		
39	1350	sggs	ਲੇਹੁ ਆਰਤੀ, ਹੋ ਪੁਰਖ ਨਿਰੰਜਨ; ਸਤਿਗੁਰ ਪੂਜਹੁ ਭਾਈ॥			Worship and adoration of the Pure, Primal Lord comes by worshipping the True Guru, O Siblings of Destiny.	O brother, worshiping the True Guru one is blessed with the present adoration of the Immaculate Lord.		
40	1350	sggs	ਠਾਢਾ ਬ੍ਰਹਮਾ. ਨਿਗਮ ਬੀਚਾਰੈ; ਅਲਖੁ. ਨ ਲਖਿਆ ਜਾਈ॥੧॥ਰਹਾਉ॥			Standing at His Door, Brahma studies the Vedas, but he cannot see the Unseen Lord. ||1||Pause||	Standing at His door, Brahma reads the Vedas, but he can see not the Unseeable Lord. Pause.		
41	1350	sggs	ਤਤੁ ਤੇਲੁ, ਨਾਮੁ ਕੀਆ ਬਾਤੀ; ਦੀਪਕੁ ਦੇਹ, ਉਜੵਾਰਾ॥	ਉਜਿਆਰਾ।		With the oil of knowledge about the essence of reality, and the wick of the Naam, the Name of the Lord, this lamp illluminates my body.	With the oil of truthfulness and the wick of the Lord's Name, I have made the lamp to illumine my body.	ਤਤੁ ਵਿਆਪਕ ਬ੍ਰਹਮ ਜੀ।	
42	1350	sggs	ਜੋਤਿ ਲਾਇ ਜਗਦੀਸ ਜਗਾਇਆ; ਬੂਝੈ ਬੂਝਨਹਾਰਾ॥੨॥			I have applied the Light of the Lord of the Universe, and lit this lamp. God the Knower knows. ||2||	Applying the Light of the Lord of the World, I have lit the lamp. The Omniscient Lord alone knows this mystery.		
43	1350	sggs	ਪੰਚੇ ਸਬਦ ਅਨਾਹਦ ਬਾਜੇ; ਸੰਗੇ ਸਾਰਿੰਗਪਾਨੀ॥			The Unstruck Melody of the Panch Shabad, the Five Primal Sounds, vibrates and resounds. I dwell with the Lord of the World.	The celestial strain of the five musical instruments resounds within me and I abide ever with the Lord of the world.		
44	1350	sggs	ਕਬੀਰ ਦਾਸ. ਤੇਰੀ ਆਰਤੀ ਕੀਨੀ; ਨਿਰੰਕਾਰ ਨਿਰਬਾਨੀ॥੩॥੫॥			Kabeer, Your slave, performs this Aartee, this lamp-lit worship service for You, O Formless Lord of Nirvaanaa. ||3||5||	O Formless and Detached Lord, Thy slave Kabir, performs such a worship of Thine.		
45	695	sggs	ਧੰਨਾ॥			Dhannaa:	Dhanna.	ਭਗਤ ਧੰਨਾ ਜੀ ਅਕਾਲ ਪੁਰਖ ਜੀ ਤੋਂ ਸਾਧਸੰਗਤ ਜੀ ਦੀ ਸੇਵਾ ਲਈ ਲੋੜੀਂਦੀਆਂ ਵਸਤੂਆਂ ਮੰਗਦੇ ਹਨ।	
46	695	sggs	ਗੋਪਾਲ ਤੇਰਾ ਆਰਤਾ॥			O Lord of the world, this is Your lamp-lit worship service.	O Lord, I perform Thine devotional worship.		
47	695	sggs	ਜੋ ਜਨ ਤੁਮਰੀ ਭਗਤਿ ਕਰੰਤੇ; ਤਿਨ ਕੇ ਕਾਜ ਸਵਾਰਤਾ॥੧॥ਰਹਾਉ॥			You are the Arranger of the affairs of those humble beings who perform Your devotional worship service. ||1||Pause||	Thou arrangest the affairs of those persons who perform Thine devotional service. Pause.		
48	695	sggs	ਦਾਲਿ ਸੀਧਾ; ਮਾਗਉ ਘੀਉ॥			Lentils, flour and ghee - these things, I beg of You.	I beg of Thee flour and ghee,		
49	695	sggs	ਹਮਰਾ ਖੁਸੀ ਕਰੈ ਨਿਤ ਜੀਉ॥			My mind shall ever be pleased.	so shall my mind be ever pleased.		
50	695	sggs	ਪਨੑੀਆ ਛਾਦਨੁ ਨੀਕਾ॥			Shoes, fine clothes,	The foot-wear, good clothes,		
51	695	sggs	ਅਨਾਜੁ ਮਗਉ; ਸਤ ਸੀਕਾ॥੧॥	ਸੀੱਕਾ।		And grain of seven kinds - I beg of You. ||1||	and corn of seven sorts, I beg of Thee.	ਸੱਤ ਵਾਰੀ (ਸੀੱਕਾ) ਸਿਆੜ ਕੱਢੇ ਹੋਣ।	
52	695	sggs	ਗਊ ਭੈਸ ਮਗਉ ਲਾਵੇਰੀ॥			A milk cow, and a water buffalo, I beg of You,	The milch-cow and buffalo I ask for,		
53	695	sggs	ਇਕ ਤਾਜਨਿ ਤੁਰੀ ਚੰਗੇਰੀ॥			And a fine Turkestani horse.	and also a good Turkistani mare.	(ਤਾਜਨਿ ਤੁਰੀ) ਅਰਬੀ ਘੋੜੀ।	
54	695	sggs	ਘਰ ਕੀ ਗੀਹਨਿ ਚੰਗੀ॥			A good wife to care for my home	I ask for a good wife to look after my home.	ਦਾਸਨਦਾਸ ਆਪ ਜੀ ਦੇ ਘਰ ਦੀ ਚੰਗੀ (ਗੀਹਨਿ) ਇਸਤ੍ਰੀ ਬਣਕੇ ਸੇਵਾ ਕਰੇ।	
55	695	sggs	ਜਨੁ ਧੰਨਾ ਲੇਵੈ ਮੰਗੀ॥੨॥੪॥			- Your humble servant Dhanna begs for these things, Lord. ||2||4||	Thy slave Dhanna, O Lord, begs Thee to procure them.		